Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Ssangyong,2022,Rexton,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595,4,SUV,NSW
MG,2022,MG3,USED,Automatic,1.5,Front,Premium,6.7,16,4,Hatchback,NSW
BMW,2022,430I,USED,Automatic,2.0,Rear,Premium,6.6,8472,4,Coupe,NSW
Mercedes-Benz,2011,E500,USED,Automatic,5.5,Rear,Premium,11.0,136517,8,Coupe,NSW
Renault,2022,Arkana,USED,Automatic,1.3,Front,Unleaded,6.0,1035,4,SUV,NSW
Land,2017,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,67662,4,SUV,NSW
Nissan,2000,Pulsar,USED,Automatic,1.6,Front,Unleaded,8.0,300539,4,Hatchback,NSW
Toyota,2013,86,USED,Automatic,2.0,Rear,Premium,7.1,82012,4,Coupe,NSW
Honda,2014,Jazz,USED,Automatic,1.3,Front,Hybrid,4.5,38229,4,Hatchback,NSW
Toyota,2018,HiAce,USED,Automatic,2.7,Rear,Unleaded,9.8,16324,4,Commercial,NSW
Toyota,2016,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,229829,4,Commercial,NSW
Volkswagen,2012,Golf,USED,Automatic,1.4,Front,Premium,6.2,55676,4,Hatchback,NSW
BMW,2014,X3,USED,Automatic,2.0,4WD,Diesel,5.6,82624,4,SUV,NSW
BMW,2011,118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204,4,Hatchback,NSW
Ford,2014,Fiesta,USED,Automatic,1.0,Front,Unleaded,5.4,76289,3,Hatchback,NSW
Mitsubishi,2012,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.5,219681,4,SUV,NSW
Ford,2013,Fiesta,USED,Automatic,1.6,Front,Unleaded,6.1,98079,4,Hatchback,NSW
Volkswagen,2023,Amarok,NEW,Automatic,3.0,AWD,Diesel,8.4,15,6,Ute / Tray,NSW
Honda,2018,Jazz,USED,Automatic,1.5,Front,Unleaded,5.8,43274,4,Hatchback,NSW
Subaru,2012,Outback,USED,Automatic,2.5,AWD,Premium,8.4,105672,4,SUV,NSW
Mitsubishi,2018,Mirage,USED,Automatic,1.2,Front,Unleaded,4.7,36836,3,Hatchback,NSW
Toyota,2005,Camry,USED,Automatic,2.4,Front,Unleaded,9.8,115821,4,Sedan,NSW
Hyundai,2011,I45,USED,Automatic,2.4,Front,Unleaded,7.9,189711,4,Sedan,NSW
Ford,2015,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,173786,6,SUV,NSW
Nissan,2018,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,114301,4,SUV,NSW
Volkswagen,2013,Golf,USED,Manual,2.0,Front,Premium,6.6,69197,4,Hatchback,NSW
Hyundai,2015,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,94377,4,SUV,NSW
Ford,2016,Focus,USED,Automatic,1.5,Front,Unleaded,6.2,94965,4,Hatchback,NSW
Nissan,2019,X-Trail,USED,Automatic,2.5,Front,Unleaded,8.1,99294,4,SUV,NSW
Toyota,2021,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,13694,4,Hatchback,NSW
Toyota,2007,Yaris,USED,Automatic,1.5,Front,Unleaded,6.7,264691,4,Sedan,NSW
Toyota,2010,Corolla,USED,Manual,1.8,Front,Unleaded,7.7,238270,4,Hatchback,NSW
Jeep,2015,Patriot,USED,Automatic,2.4,4WD,Unleaded,9.1,140964,4,SUV,NSW
Volvo,2013,S60,USED,Automatic,1.6,Front,Premium,7.4,141000,4,Sedan,NSW
Mitsubishi,2016,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,240402,4,Ute / Tray,NSW
Mercedes-Benz,2010,E250,USED,Automatic,1.8,Rear,Premium,7.9,101126,4,Coupe,NSW
Mercedes-Benz,2013,A250,USED,Automatic,2.0,Front,Premium,6.6,117254,4,Hatchback,NSW
Toyota,2012,86,USED,Manual,2.0,Rear,Premium,7.8,178747,4,Coupe,NSW
Mazda,2022,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.5,10579,4,SUV,NSW
Toyota,2010,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,167101,4,Hatchback,NSW
Ford,2013,Falcon,USED,Automatic,4.0,Rear,Unleaded,9.9,163161,6,Sedan,NSW
Abarth,2021,595,USED,Manual,1.4,Front,Premium,6.0,13200,4,Hatchback,NSW
Honda,2014,CR-V,USED,Automatic,2.4,4WD,Unleaded,8.7,103211,4,SUV,NSW
Toyota,2007,Corolla,USED,Automatic,1.8,Front,Unleaded,7.4,177751,4,Sedan,NSW
Toyota,2016,HiAce,USED,Automatic,2.7,Rear,Unleaded,10.9,119614,4,People Mover,NSW
Hyundai,2012,I30,USED,Automatic,1.8,Front,Unleaded,6.9,125546,4,Hatchback,NSW
Mazda,2013,6,USED,Automatic,2.5,Front,Unleaded,6.6,163000,4,Sedan,NSW
Toyota,2008,Kluger,USED,Automatic,3.5,Front,Unleaded,11.0,132864,6,SUV,NSW
Hyundai,2018,Santa,USED,Automatic,2.2,AWD,Diesel,7.8,71655,4,SUV,NSW
BMW,2012,X3,USED,Automatic,2.0,4WD,Diesel,5.6,109459,4,SUV,NSW
Holden,2016,Cascada,USED,Automatic,1.6,Front,Premium,7.5,65361,4,Convertible,NSW
Mercedes-Benz,2006,ML320,USED,Automatic,3.0,4WD,Diesel,9.6,212953,6,SUV,NSW
Mitsubishi,2009,Lancer,USED,Automatic,2.0,Front,Unleaded,8.2,163012,4,Sedan,NSW
Audi,2014,A5,USED,Automatic,2.0,AWD,Premium,6.7,82119,4,Coupe,NSW
Kia,2018,RIO,USED,Automatic,1.0,Front,Unleaded,5.4,42071,3,Hatchback,NSW
Jeep,2015,Cherokee,USED,Automatic,3.2,4WD,Unleaded,10.0,85958,6,SUV,NSW
Volkswagen,2011,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,118642,4,SUV,NSW
Mitsubishi,2012,ASX,USED,Automatic,2.0,Front,Unleaded,7.9,187265,4,SUV,NSW
BMW,2016,220I,USED,Automatic,2.0,Rear,Premium,6.4,118120,4,Convertible,NSW
Hyundai,2022,Tucson,USED,Automatic,2.0,Front,Unleaded,8.1,19978,4,SUV,NSW
Mazda,2011,3,USED,Automatic,2.0,Front,Unleaded,8.2,86804,4,Sedan,NSW
Volkswagen,2023,Tiguan,NEW,Automatic,2.0,AWD,Premium,8.9,15,4,SUV,NSW
Hyundai,2014,Imax,USED,Automatic,2.5,Rear,Diesel,9.0,183550,4,Wagon,NSW
Toyota,2014,Yaris,USED,Automatic,1.3,Front,Unleaded,6.3,191748,4,Hatchback,NSW
Toyota,2016,Kluger,USED,Automatic,3.5,Front,Unleaded,10.4,139637,6,SUV,NSW
Mitsubishi,2013,Lancer,USED,Automatic,2.0,Front,Unleaded,7.2,165306,4,Sedan,NSW
Subaru,2016,XV,USED,Automatic,2.0,AWD,Unleaded,7.1,104887,4,SUV,NSW
Mini,2017,Cooper,USED,Automatic,2.0,Front,Premium,5.5,72501,4,Hatchback,NSW
Holden,2010,Commodore,USED,Manual,6.0,Rear,Unleaded,14.5,169220,8,Ute / Tray,NSW
Hyundai,2015,I20,USED,Automatic,1.4,Front,Unleaded,5.9,111783,4,Hatchback,NSW
Mazda,2018,BT-50,USED,Automatic,3.2,Rear,Diesel,9.3,97460,5,Ute / Tray,NSW
Mazda,2009,3,USED,Automatic,2.0,Front,Unleaded,8.2,178389,4,Sedan,NSW
Hyundai,2011,I20,USED,Automatic,1.4,Front,Unleaded,6.4,188262,4,Hatchback,NSW
Mazda,2010,CX-7,USED,Automatic,2.3,AWD,Unleaded,11.5,152831,4,SUV,NSW
Jeep,2017,Renegade,USED,Automatic,1.4,Front,Premium,5.9,69218,4,SUV,NSW
Mazda,2013,6,USED,Automatic,2.5,Front,Unleaded,6.6,124093,4,Sedan,NSW
Kia,2013,Grand,USED,Automatic,3.5,Front,Unleaded,10.9,98672,6,Wagon,NSW
Mitsubishi,2015,Lancer,USED,Automatic,2.0,Front,Unleaded,7.2,61481,4,Sedan,NSW
Subaru,2018,Impreza,USED,Automatic,2.0,AWD,Unleaded,6.6,61177,4,Hatchback,NSW
Mazda,2014,3,USED,Automatic,2.0,Front,Unleaded,8.2,132648,4,Hatchback,NSW
BMW,2021,X4,USED,Automatic,2.0,AWD,Unleaded,7.3,31367,4,SUV,NSW
Mazda,2010,CX-7,USED,Automatic,2.3,AWD,Unleaded,11.5,174818,4,SUV,NSW
Audi,2015,A5,USED,Automatic,2.0,AWD,Premium,6.7,115334,4,Coupe,NSW
BMW,2014,118I,USED,Automatic,1.6,Rear,Premium,5.8,57000,4,Hatchback,NSW
Audi,2014,Q7,USED,Automatic,4.1,AWD,Diesel,9.2,199941,8,SUV,NSW
Suzuki,2015,Celerio,USED,Automatic,1.0,Front,Unleaded,4.8,23316,3,Hatchback,NSW
Subaru,2016,Liberty,USED,Automatic,3.6,AWD,Premium,9.9,226127,6,Sedan,NSW
Toyota,2019,C-HR,USED,Manual,1.2,Front,Premium,5.4,58185,4,SUV,NSW
Subaru,2021,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,16136,4,SUV,NSW
Mazda,2015,CX-3,USED,Automatic,2.0,AWD,Unleaded,6.7,31531,4,SUV,NSW
Jeep,2018,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,76472,6,SUV,NSW
Hyundai,2018,I30,USED,Automatic,2.0,Front,Unleaded,7.4,62719,4,Hatchback,NSW
Nissan,2020,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,52035,4,SUV,NSW
Honda,2010,City,USED,Automatic,1.5,Front,Unleaded,6.6,146445,4,Sedan,NSW
Honda,2020,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,35214,4,SUV,NSW
Holden,2014,Cruze,USED,Manual,1.6,Front,Unleaded,7.4,163000,4,Hatchback,NSW
Jeep,2013,Grand,USED,Automatic,3.6,Rear,Premium,10.1,69001,6,SUV,NSW
Toyota,2007,RAV4,USED,Automatic,2.4,4WD,Unleaded,9.6,106718,4,SUV,NSW
Holden,2016,Commodore,USED,Automatic,3.0,Rear,Unleaded,8.3,59689,6,Sedan,NSW
Mercedes-Benz,2010,CLC200,USED,Automatic,1.8,Rear,Premium,9.0,177834,4,Coupe,NSW
Mazda,2013,6,USED,Automatic,2.5,Front,Unleaded,6.6,105767,4,Sedan,NSW
Volkswagen,2018,Caddy,USED,Automatic,1.4,Front,Premium,6.0,87293,4,Commercial,NSW
Honda,2013,Civic,USED,Automatic,1.8,Front,Unleaded,6.7,154347,4,Sedan,NSW
Jeep,2021,Compass,USED,Automatic,2.4,Front,Unleaded,7.9,20827,4,SUV,NSW
Toyota,2010,Yaris,USED,Automatic,1.3,Front,Unleaded,6.5,147626,4,Hatchback,NSW
Jeep,2014,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,114424,6,SUV,NSW
Mazda,2009,3,USED,Manual,2.5,Front,Unleaded,8.6,153020,4,Hatchback,NSW
Ford,2016,Ranger,USED,Automatic,3.2,4WD,Diesel,9.0,98700,5,Ute / Tray,NSW
Toyota,2013,86,USED,Automatic,2.0,Rear,Premium,7.1,103706,4,Coupe,NSW
Volkswagen,2013,Golf,USED,Automatic,1.4,Front,Premium,5.2,126532,4,Hatchback,NSW
Mitsubishi,2013,Lancer,USED,Automatic,2.0,Front,Unleaded,7.3,73421,4,Hatchback,NSW
Toyota,2009,Camry,USED,Automatic,2.4,Front,Unleaded,9.9,155135,4,Sedan,NSW
Hyundai,2013,I20,USED,Automatic,1.4,Front,Unleaded,6.4,123330,4,Hatchback,NSW
Mitsubishi,2014,Lancer,USED,Automatic,2.4,Front,Unleaded,8.9,44249,4,Hatchback,NSW
Mazda,2018,2,USED,Automatic,1.5,Front,Unleaded,4.9,27100,4,Hatchback,NSW
Mazda,2009,3,USED,Automatic,2.0,Front,Unleaded,8.2,70661,4,Hatchback,NSW
Mitsubishi,2014,Triton,USED,Automatic,2.5,4WD,Diesel,9.3,215100,4,Ute / Tray,NSW
Volkswagen,2014,Golf,USED,Automatic,1.4,Front,Premium,5.4,155036,4,Hatchback,NSW
BMW,2012,M135I,USED,Automatic,3.0,Rear,Premium,7.5,67678,6,Hatchback,NSW
Holden,2015,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,133934,6,Wagon,NSW
